stamp_sec,stamp_nsec,status,service,latitude,longitude
1744809426,0,1,1,25.75819206237793,-80.37357330322266
1744809427,0,1,1,25.75819206237793,-80.37357330322266
1744809428,0,1,1,25.75819206237793,-80.37357330322266
1744809429,0,1,1,25.75819206237793,-80.37357330322266
1744809430,0,1,1,25.758193969726562,-80.37357330322266
1744809431,0,1,1,25.758195877075195,-80.37357330322266
1744809432,0,1,1,25.758197784423828,-80.37357330322266
1744809433,0,1,1,25.75819969177246,-80.37357330322266
1744809435,0,1,1,25.758201599121094,-80.37357330322266
1744809436,0,1,1,25.758203506469727,-80.37357330322266
1744809437,0,1,1,25.75820541381836,-80.37358093261719
1744809438,0,1,1,25.75820541381836,-80.37358093261719
1744809439,0,1,1,25.758207321166992,-80.37358093261719
1744809440,0,1,1,25.758209228515625,-80.37358856201172
1744809442,0,1,1,25.758211135864258,-80.37359619140625
1744809443,0,1,1,25.75821304321289,-80.37359619140625
1744809444,0,1,1,25.758214950561523,-80.37360382080078
1744809445,0,1,1,25.758216857910156,-80.37361145019531
1744809446,0,1,1,25.75821876525879,-80.37361907958984
1744809447,0,1,1,25.758220672607422,-80.37362670898438
1744809448,0,1,1,25.758222579956055,-80.3736343383789
1744809450,0,1,1,25.75822639465332,-80.37364959716797
1744809452,0,1,1,25.758230209350586,-80.37366485595703
1744809453,0,1,1,25.75823211669922,-80.37367248535156
1744809454,0,1,1,25.75823402404785,-80.3736801147461
1744809455,0,1,1,25.758235931396484,-80.37368774414062
1744809456,0,1,1,25.758237838745117,-80.37370300292969
1744809458,0,1,1,25.758241653442383,-80.37371826171875
1744809459,0,1,1,25.758243560791016,-80.37372589111328
1744809460,0,1,1,25.75824546813965,-80.37373352050781
1744809462,0,1,1,25.758251190185547,-80.37374877929688
1744809463,0,1,1,25.75825309753418,-80.3737564086914
1744809464,0,1,1,25.758255004882812,-80.37376403808594
1744809465,0,1,1,25.758256912231445,-80.37377166748047
1744809466,0,1,1,25.758258819580078,-80.37378692626953
1744809468,0,1,1,25.758262634277344,-80.3738021850586
1744809469,0,1,1,25.758264541625977,-80.37380981445312
1744809470,0,1,1,25.75826644897461,-80.37381744384766
1744809471,0,1,1,25.758268356323242,-80.37382507324219
1744809472,0,1,1,25.758272171020508,-80.37383270263672
1744809473,0,1,1,25.75827407836914,-80.37384033203125
1744809475,0,1,1,25.758277893066406,-80.37385559082031
1744809476,0,1,1,25.75827980041504,-80.37386322021484
1744809477,0,1,1,25.758281707763672,-80.37387084960938
1744809478,0,1,1,25.758283615112305,-80.3738784790039
1744809479,0,1,1,25.758285522460938,-80.3738784790039
1744809480,0,1,1,25.75828742980957,-80.37388610839844
1744809481,0,1,1,25.758289337158203,-80.37388610839844
1744809483,0,1,1,25.758289337158203,-80.3739013671875
1744809484,0,1,1,25.75828742980957,-80.3739013671875
1744809485,0,1,1,25.758283615112305,-80.3739013671875
1744809486,0,1,1,25.758281707763672,-80.37390899658203
1744809487,0,1,1,25.75827980041504,-80.37390899658203
1744809488,0,1,1,25.758275985717773,-80.37390899658203
1744809489,0,1,1,25.758272171020508,-80.37390899658203
1744809491,0,1,1,25.758264541625977,-80.37390899658203
1744809492,0,1,1,25.758258819580078,-80.37390899658203
1744809493,0,1,1,25.75825309753418,-80.37390899658203
1744809494,0,1,1,25.75824737548828,-80.37390899658203
1744809495,0,1,1,25.758241653442383,-80.37390899658203
1744809496,0,1,1,25.75823402404785,-80.37390899658203
1744809498,0,1,1,25.758220672607422,-80.37390899658203
1744809500,0,1,1,25.75820541381836,-80.37390899658203
1744809501,0,1,1,25.758197784423828,-80.37390899658203
1744809502,0,1,1,25.758190155029297,-80.3739013671875
1744809503,0,1,1,25.758182525634766,-80.3739013671875
1744809504,0,1,1,25.758174896240234,-80.3739013671875
1744809505,0,1,1,25.758169174194336,-80.3739013671875
1744809506,0,1,1,25.758159637451172,-80.3739013671875
1744809508,0,1,1,25.758146286010742,-80.3739013671875
1744809509,0,1,1,25.75813865661621,-80.3739013671875
1744809510,0,1,1,25.75813102722168,-80.3739013671875
1744809511,0,1,1,25.75812339782715,-80.3739013671875
1744809512,0,1,1,25.758115768432617,-80.3739013671875
1744809513,0,1,1,25.758108139038086,-80.3739013671875
1744809514,0,1,1,25.758100509643555,-80.3739013671875
1744809516,0,1,1,25.758085250854492,-80.37389373779297
1744809517,0,1,1,25.75807762145996,-80.37389373779297
1744809518,0,1,1,25.75806999206543,-80.37389373779297
1744809520,0,1,1,25.758054733276367,-80.37389373779297
1744809521,0,1,1,25.758047103881836,-80.37389373779297
1744809522,0,1,1,25.758039474487305,-80.37389373779297
1744809523,0,1,1,25.758031845092773,-80.37389373779297
1744809525,0,1,1,25.758014678955078,-80.37389373779297
